Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
-16342,2084,2,2000
-10049,10117,1,3200
2786,-659,1,15000
-4905,12975,15,1200
10579,8081,1,19300
-10678,11762,2,11900
6898,444,2,17400
-6422,-15892,2,700
-13388,-4441,1,23600
-11556,-10947,3,6600
16008,-1779,3,16500
-12481,-16230,1,3200
-16091,-4001,1,24000
1038,2333,1,5900
3335,3512,1,3700
-10936,5343,1,5400
-1612,-4845,1,8000
-14514,3529,1,7500
9284,9916,4,5400
652,-6489,1,14800
12320,7428,4,9700
14939,13950,1,11800
1290,-11719,1,20600
-1242,-8672,2,17400
11870,-9515,5,13000
9164,11261,1,14000
16279,16374,1,16700
3654,-3524,2,24100
-7660,-6642,2,5600
11146,-15605,1,9900
-4067,-13348,1,23000
5807,-14541,1,19700
-16095,13723,1,21400
-7343,-7441,7,20400
2881,6265,1,11000
11063,7422,1,9300
-493,-9654,1,11000
7987,-1033,1,14300
-1377,14718,3,1700
8010,-12835,5,21800
3246,-3760,2,19200
7701,3571,1,5600
2373,-4543,7,5400
-11417,-9007,1,6800
-2452,9925,1,13400
561,16056,3,20000
8243,-5060,1,23800
-10846,5155,1,7500
-265,-14301,1,7900
6546,158,2,21100
-11550,14732,2,300
-11744,13275,1,22500
6321,-6453,3,19700
-2406,-14077,1,9800
15290,6003,1,20800
-11362,12362,2,9100
10541,2689,1,18500
-10113,-10554,3,4100
10394,-810,2,15500
-11286,129,3,1200
7603,-3093,1,400
-7222,2253,1,4600
5972,8384,4,3500
7272,-809,1,12400
-12352,-4331,1,1500
10967,-15233,1,6600
558,5341,1,22400
-2417,-12953,1,8100
14724,13808,4,19100
1624,-5046,58,20500
-926,-4096,2,7500
11370,-6000,30,6100
-1438,-7474,2,8900
15826,-6625,1,11000
7838,2205,1,9900
-9961,8563,1,3500
11123,-3353,7,12800
30,12785,5,5200
-15483,16208,1,18900
2379,-14728,1,23900
1027,-10024,1,21800
11241,4154,1,14800
5165,-9900,5,6200
11212,-12342,2,14600
-12781,7967,1,18200
-6092,14453,1,11800
-7009,-5363,1,21300
-11787,7638,3,8000
10965,6816,3,11500
3285,8101,1,10300
-8102,-11649,1,12200
-16330,-14384,2,17200
10035,11555,5,21400
-9483,-12595,1,17100
1744,-15916,4,18700
-12655,-1490,5,23500
8265,6100,5,2200
1424,-13962,2,9300
-2073,-9766,1,20700
6430,-6869,1,14500
-2074,-8767,1,10200
2552,1068,4,13000
4217,-11134,1,1800
136,15173,1,16600
6415,13920,5,22400
-10159,-5375,1,20600
-10539,16226,1,8000
-1394,16319,1,24000
-13188,4102,14,24200
-13290,-2040,30,6200
14140,-14796,4,3100
12931,-6880,1,22100
-8935,8817,1,10300
-2925,-9765,45,13100
4197,3413,1,14400
-1585,-1102,1,5100
3206,4415,1,1700
11626,10774,2,6700
4089,7239,3,15900
2155,-4091,1,10800
-10345,7796,1,6100
1807,13274,1,11600
-8425,-10192,1,19600
3432,6505,1,15200
2773,-4872,1,10200
-181,-13749,1,7300
7889,3672,1,20200
3945,6263,1,5500
9979,-11497,1,9400
2492,12050,2,17000
13486,3759,1,17900
7461,-14967,9,5600
5498,15615,1,22100
-6061,2268,1,23200
-6362,-10684,2,3500
-12826,12093,1,15800
11509,8006,1,17900
-11308,-5671,1,18800
-13783,-13873,1,8800
4620,10486,14,20600
1478,-1695,1,16200
-2982,-6594,42,2600
-1128,40,8,9900
-11381,-5798,1,200
7799,-6098,1,8600
10705,15043,1,9100
12234,7374,6,22200
-6551,14549,1,10900
-12214,-14229,31,21500
9338,806,2,21000
3593,14946,1,1500
-14015,12309,1,22000
5042,-5828,2,18200
-12949,166,1,8600
-8942,-6871,1,400
13762,1677,1,10200
5335,-12630,5,2600
-244,-3960,4,18800
-104,9613,1,5900
304,-3854,2,14300
6166,1054,2,5900
3483,-3434,1,1600
-16190,6812,2,5300
-13086,4033,1,10100
11903,-278,1,6100
8105,-101,1,500
-3928,9351,1,200
1731,-4682,1,13800
14933,4288,1,7000
-10597,-4120,1,6300
-12070,7972,2,6100
14802,3670,2,11900
-15471,-5575,1,5500
-14551,4562,1,8400
-12070,11373,17,6700
11938,3175,127,16800
7263,11599,1,4500
-15902,-12239,1,17100
6813,3839,1,18000
-9254,-14222,2,5800
-10848,4067,1,21100
-5210,-5917,1,6300
-4339,5276,1,8800
9909,10056,3,7800
870,3641,1,14900
9771,13127,1,5600
-11638,4266,2,36800
-3197,-8070,1,6500
-11909,11639,1,12000
-14215,-2365,5,17200
2404,-6478,2,3500
1575,-8992,1,9800
-6181,-12758,1,13500
10094,-11969,1,19000
-7069,9441,1,17800
12951,9491,1,14000
7989,3776,1,14000
-4550,11687,13,5600
-8896,11914,2,17500
-8865,-8206,1,17700
1390,15887,1,12400
-14620,-13715,5,23400
809,-2398,1,20600
-13281,-7903,1,3700
12830,-8756,2,11800
-11581,-12284,37,13000
14144,-13758,2,18100
-14840,-14459,1,20700
-5360,13589,1,21600
-3322,-2202,2,20300
14620,11049,1,3400
1122,11210,2,16700
6342,-3352,2,16800
-7891,-16241,1,5300
839,14903,1,23900
-3319,-8483,1,22000
2804,-8023,1,12500
6030,14591,1,11900
-2113,12787,1,21800
-16148,14450,2,18900
3328,9377,1,21500
2513,-11716,1,14100
-9098,-3833,1,17300
-16243,-2689,1,5700
-13688,5241,1,4100
11636,-14258,2,7900
10193,5311,1,21100
6275,9919,1,7900
988,6083,1,14600
-11705,6210,5,9200
7468,9101,1,9200
-15365,12081,1,13500
4736,6769,1,17800
-13583,1704,1,10100
14677,-14457,1,2600
-7373,-11626,1,21300
15787,3932,1,17200
-6807,13844,1,5800
-4340,6375,5,20400
-9219,-11274,3,9700
-8501,703,1,16700
13182,-12896,26,1100
13194,-1909,1,19000
-13758,9244,2,3000
-10754,15545,1,13700
9040,12137,1,23100
-9481,-1421,1,18200
-16260,8213,1,2300
-12646,-3122,2,12400
-6188,16142,14,4600
-15119,-8123,1,24000
-10181,-8267,1,12000
-11353,3943,1,12100
12628,14388,44,5800
-9972,9164,4,21400
4770,5137,1,13700
13407,-1459,1,7900
13805,5380,5,2300
-11443,4468,1,8000
2279,-2554,1,6600
14517,1330,1,3800
2575,1195,5,2100
-8018,-3376,422,1900
-4906,-15183,1,4400
9675,-9944,1,22400
-14080,-3623,1,15000
2974,-14059,1,5900
-9906,-11275,1,20800
4730,-1496,22,16800
3418,6467,1,2400
-1923,6045,3,9600
-3390,11001,3,9000
3022,-9843,1,16300
14728,12321,1,14500
-3548,15973,1,18300
-10311,12967,1,23500
2440,-1898,2,19300
4173,6833,1,3100
-14757,-7026,3,10200
-7857,-3026,1,10300
12954,6888,6,4600
7486,12978,2,10300
-3487,-3361,1,19300
13234,-6271,1,5100
-3666,2313,3,9400
-4798,7658,2,3600
8040,7746,6,11400
7846,-11818,2,11800
-9824,-7451,1,17500
5913,13472,1,11200
-4330,579,1,20000
-12799,13351,1,1000
-9729,589,1,20100
5074,-2014,2,1000
6149,-13420,11,3100
-13776,-13900,4,19900
-15472,-4748,4,21100
-6316,6465,1,7100
-11708,-3445,1,9600
-14160,5759,1,5100
7371,-9872,1,9000
6358,3792,2,14800
5076,1442,2,5800
-13162,1487,1,2400
-14757,15551,1,2400
-1178,15400,2,23000
7467,1015,1,22700
5896,6318,2,1700
-4190,-3649,1,9500
-14746,10151,1,5500
-10827,-14390,1,15100
-6207,9322,1,21300
-9421,-5835,1,13900
-502,-16083,1,8700
-1970,258,2,23800
3472,8472,8,500
-3241,-4921,7,12800
11228,14494,2,7300
4041,16295,1,21500
-14631,2060,1,24100
11913,-3710,1,3100
-6343,-7070,1,5700
-15508,3689,1,10500
-3565,-15773,1,5500
-15366,-1451,1,23400
11729,14312,1,2300
-3214,7448,2,21200
3657,10105,1,11000
12302,2707,1,15000
3114,-13794,6,4100
9607,-1238,1,20400
2970,2931,3,2000
2268,10357,1,4800
5661,-5125,1,15800
-16048,-7624,8,7700
-5191,-8778,1,11500
8881,-4202,1,13000
12120,-12554,2,6400
7392,4225,1,18900
12909,-10386,3,6800
1166,13173,1,15300
9178,15244,2,19500
-9916,13158,2,22500
9746,14857,1,19500
11430,12791,1,22000
4218,-10306,2,19100
3832,-7700,4,15400
-8170,7609,1,11500
9441,-10782,9,11500
7009,-624,1,15900
-13713,10045,7,1000
11644,-12299,1,22200
-6308,2403,1,18300
-885,8587,1,3800
-10096,7464,8,13300
16221,-15880,1,10400
4838,6280,2,21800
-10677,-14020,1,8700
-7373,5788,1,19200
11106,1857,3,8000
-4219,9159,1,2800
-8764,4530,2,12600
-8792,-9679,1,6400
15435,-7151,1,14300
-15633,8822,1,11000
-11408,-14844,4,13100
-16080,-4961,1,22100
4715,-5136,1,7900
-2799,-2735,1,7300
-13412,1481,1,3800
6530,-5308,2,2200
5162,12329,1,7400
1163,2295,1,17000
-14614,-1121,1,3200
-7864,-2398,2,1600
11906,-439,1,3400
-13518,2157,3,600
6862,9125,73,3100
11935,11487,7,12600
-6782,11940,2,16000
4749,8089,1,16400
10769,8704,1,11200
12187,13380,1,12000
13518,720,18,18400
-1960,-12856,8,1100
-4783,10586,1,18000
-2368,-10818,2,14500
-16355,5160,5,14900
8964,-14295,3,7100
-13440,-3746,2,19800
6026,10080,2,6000
-11334,-11702,2,14000
-14795,-5041,1,16200
-15775,15677,1,7000
4838,-14625,1,21500
13571,4505,1,20200
-2237,-15693,1,6300
-8434,-3540,2,21500
5047,9237,1,4900
-15635,10684,1,12700
-11847,4400,11,14700
1652,15843,1,6100
-1198,-9345,1,21900
-6530,9246,2,13400
-5159,-635,1,13700
3540,-13024,4,1100
15874,8383,1,19400
-11439,-1428,3,12500
6935,16343,1,2200
9028,4642,2,24200
3972,14618,2,7000
6166,-6887,1,21700
2201,-6868,1,10200
1581,6959,1,10100
-8308,1530,2,10400
-241,14813,1,2500
5565,8689,1,21800
4043,-1777,1,13000
9790,8046,2,2700
16021,-9678,1,12000
4243,13429,1,14300
2992,13710,2,19800
182,-347,1,20400
-1647,12758,1,700
14431,-10389,1,19000
-8127,-9731,1,15400
7553,14455,7,14600
4099,-15028,1,21300
4632,-15252,12,22200
1847,1458,1,22600
-1758,-14372,2,2200
16254,-12197,1,21200
3307,-14733,1,18500
-10721,5251,1,21700
-5490,-6030,90,7800
5033,-2931,1,9000
-2375,-9121,1,4300
5850,-10929,3,14500
-80,251,1,16700
9920,-2127,1,700
-16235,-5259,1,3700
-4066,-12170,2,7900
10726,7645,1,18900
12817,4697,7,10600
4935,475,5,6500
7667,7772,1,800
14978,-1119,1,10800
-4480,-12707,1,1600
13260,10526,2,17900
-1481,-12822,1,15200
12106,8565,1,17600
-15101,-2730,1,11800
14291,-14163,1,3800
-10981,-9460,1,19500
-12552,2986,2,13000
-12505,3876,1,4200
2625,6236,1,5500
7588,13620,4,8800
5562,-6602,2,18800
10121,-3991,1,9300
16302,8930,38,5500
-9685,-10794,1,12500
-3661,-10445,1,15200
2654,-9973,1,15600
15078,-10149,3,14800
-3875,-6422,1,15200
-12424,-9890,2,9600
-14868,8886,6,14700
8554,12486,2,13600
-16325,-1683,1,19600
-2412,9881,1,2400
-1266,-168,6,13800
8172,-8568,36,300
1947,-13344,3,11800
13829,12905,1,18300
11699,-14429,1,19200
-298,4327,1,21300
8101,8391,1,6500
-8003,13432,1,12400
9568,-9842,2,20800
1732,-14704,4,13800
727,9515,1,20200
6690,-15595,5,13100
7594,1749,1,21600
13573,12306,7,2500
9730,-6375,5,16900
-3442,-593,1,8900
-14660,4980,20,800
-16355,8801,1,6900
8395,-9183,1,12100
-11312,-14498,2,12700
5591,-15312,1,20200
-5050,6484,2,21300
9770,-2088,2,9000
15785,4442,1,3000
-6707,-754,1,6300
12267,-13785,3,1100
-13074,-11690,2,19000
-11697,13697,1,16100
-6267,-4134,3,18900
10284,-14855,1,5800
10296,-8519,1,20500
13038,-7978,2,12400
-7557,-9567,3,11200
-8867,11343,1,13300
12283,12704,1,15600
11298,3581,1,17500
-15043,-10697,1,5100
-10362,-4721,1,14800
-1662,-10319,1,6700
12926,4032,2,14200
1519,13490,1,5700
741,7558,1,18600
16362,15379,1,10500
12040,11148,4,21300
-11577,-4115,1,15600
-7065,-10781,1,5800
15524,7924,4,15200
7098,-15371,1,10900
4753,10247,1,21300
7731,10426,1,14100
-12299,7173,1,14400
-4093,4910,1,9900
13613,12769,1,6800
-15329,8962,1,17500
-1675,-16135,5,12300
-8892,-2671,1,22200
-11252,13731,1,4200
56,-8425,1,18900
8339,13321,1,11600
-9388,-15331,1,18300
8886,-8904,6,21100
1855,10040,5,12300
11535,-5517,3,14000
1276,16115,11,7600
12103,4813,1,22200
-8921,10250,1,6700
-4225,-4361,1,14200
-15237,2009,1,6100
-3346,-12458,2,2800
-5736,13075,1,17200
-9781,14424,1,18300
-12285,11447,1,19800
12909,-1783,1,16100
-9105,4416,3,2600
1969,4065,1,6100
-2501,-15843,1,5700
11932,-11808,4,21700
-7621,-6816,1,16300
5953,2014,1,9400
15035,3514,1,2800
9445,-2532,1,5000
10433,7847,1,3600
-11934,542,2,11100
-15725,-16154,1,1100
8137,-5443,1,22200
13177,-1236,1,7600
8779,-14728,1,1800
4292,-15591,1,20200
5978,15371,1,21500
15,6763,1,21200
-7669,10563,1,9300
4805,3186,1,14500
-7745,11280,5,4400
-1308,8132,4,15500
-4862,-15908,2,11300
-768,4145,1,22000
-3149,-3813,1,5900
