Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
-16342,2084,2,100
-10049,10117,1,200
2786,-659,1,100
-4905,12975,15,200
10579,8081,1,200
-10678,11762,2,200
6898,444,2,200
-6422,-15892,2,100
-13388,-4441,1,100
-11556,-10947,3,100
16008,-1779,3,100
-12481,-16230,1,100
-16091,-4001,1,100
1038,2333,1,100
3335,3512,1,100
-10936,5343,1,100
-1612,-4845,1,200
-14514,3529,1,100
9284,9916,4,100
652,-6489,1,100
12320,7428,4,100
14939,13950,1,200
1290,-11719,1,100
-1242,-8672,2,100
11870,-9515,5,100
9164,11261,1,100
16279,16374,1,200
3654,-3524,2,100
-7660,-6642,2,200
11146,-15605,1,100
-4067,-13348,1,100
5807,-14541,1,200
-16095,13723,1,100
-7343,-7441,7,100
2881,6265,1,100
11063,7422,1,100
-493,-9654,1,0
7987,-1033,1,100
-1377,14718,3,200
8010,-12835,5,200
3246,-3760,2,100
7701,3571,1,200
2373,-4543,7,200
-11417,-9007,1,100
-2452,9925,1,200
561,16056,3,200
8243,-5060,1,200
-10846,5155,1,100
-265,-14301,1,100
6546,158,2,0
-11550,14732,2,100
-11744,13275,1,100
6321,-6453,3,100
-2406,-14077,1,100
15290,6003,1,200
-11362,12362,2,200
10541,2689,1,200
-10113,-10554,3,100
10394,-810,2,100
-11286,129,3,100
7603,-3093,1,100
-7222,2253,1,100
5972,8384,4,200
7272,-809,1,100
-12352,-4331,1,100
10967,-15233,1,100
558,5341,1,100
-2417,-12953,1,100
14724,13808,4,200
1624,-5046,58,200
-926,-4096,2,100
11370,-6000,30,200
-1438,-7474,2,100
15826,-6625,1,100
7838,2205,1,100
-9961,8563,1,200
11123,-3353,7,100
30,12785,5,100
-15483,16208,1,100
2379,-14728,1,100
1027,-10024,1,200
11241,4154,1,200
5165,-9900,5,100
11212,-12342,2,100
-12781,7967,1,200
-6092,14453,1,200
-7009,-5363,1,200
-11787,7638,3,200
10965,6816,3,100
3285,8101,1,200
-8102,-11649,1,200
-16330,-14384,2,100
10035,11555,5,200
-9483,-12595,1,100
1744,-15916,4,100
-12655,-1490,5,200
8265,6100,5,100
1424,-13962,2,100
-2073,-9766,1,200
6430,-6869,1,100
-2074,-8767,1,100
2552,1068,4,100
4217,-11134,1,200
136,15173,1,200
6415,13920,5,100
-10159,-5375,1,100
-10539,16226,1,200
-1394,16319,1,100
-13188,4102,14,200
-13290,-2040,30,200
14140,-14796,4,200
12931,-6880,1,100
-8935,8817,1,100
-2925,-9765,45,100
4197,3413,1,500
-1585,-1102,1,200
3206,4415,1,200
11626,10774,2,200
4089,7239,3,200
2155,-4091,1,100
-10345,7796,1,100
1807,13274,1,100
-8425,-10192,1,100
3432,6505,1,200
2773,-4872,1,200
-181,-13749,1,100
7889,3672,1,200
3945,6263,1,200
9979,-11497,1,200
2492,12050,2,200
13486,3759,1,200
7461,-14967,9,200
5498,15615,1,200
-6061,2268,1,100
-6362,-10684,2,200
-12826,12093,1,200
11509,8006,1,200
-11308,-5671,1,100
-13783,-13873,1,100
4620,10486,14,100
1478,-1695,1,200
-2982,-6594,42,100
-1128,40,8,200
-11381,-5798,1,100
7799,-6098,1,200
10705,15043,1,200
12234,7374,6,100
-6551,14549,1,100
-12214,-14229,31,100
9338,806,2,100
3593,14946,1,200
-14015,12309,1,200
5042,-5828,2,100
-12949,166,1,200
-8942,-6871,1,100
13762,1677,1,100
5335,-12630,5,100
-244,-3960,4,200
-104,9613,1,100
304,-3854,2,100
6166,1054,2,100
3483,-3434,1,100
-16190,6812,2,100
-13086,4033,1,200
11903,-278,1,200
8105,-101,1,200
-3928,9351,1,100
1731,-4682,1,100
14933,4288,1,100
-10597,-4120,1,200
-12070,7972,2,200
14802,3670,2,100
-15471,-5575,1,100
-14551,4562,1,100
-12070,11373,17,100
11938,3175,127,100
7263,11599,1,0
-15902,-12239,1,200
6813,3839,1,200
-9254,-14222,2,200
-10848,4067,1,200
-5210,-5917,1,100
-4339,5276,1,200
9909,10056,3,100
870,3641,1,100
9771,13127,1,200
-11638,4266,2,200
-3197,-8070,1,200
-11909,11639,1,100
-14215,-2365,5,100
2404,-6478,2,100
1575,-8992,1,200
-6181,-12758,1,100
10094,-11969,1,100
-7069,9441,1,200
12951,9491,1,100
7989,3776,1,200
-4550,11687,13,200
-8896,11914,2,100
-8865,-8206,1,100
1390,15887,1,200
-14620,-13715,5,200
809,-2398,1,200
-13281,-7903,1,100
12830,-8756,2,200
-11581,-12284,37,100
14144,-13758,2,100
-14840,-14459,1,200
-5360,13589,1,100
-3322,-2202,2,100
14620,11049,1,100
1122,11210,2,100
6342,-3352,2,100
-7891,-16241,1,200
839,14903,1,200
-3319,-8483,1,100
2804,-8023,1,100
6030,14591,1,200
-2113,12787,1,200
-16148,14450,2,100
3328,9377,1,100
2513,-11716,1,100
-9098,-3833,1,200
-16243,-2689,1,200
-13688,5241,1,200
11636,-14258,2,200
10193,5311,1,200
6275,9919,1,200
988,6083,1,100
-11705,6210,5,100
7468,9101,1,200
-15365,12081,1,100
4736,6769,1,200
-13583,1704,1,100
14677,-14457,1,200
-7373,-11626,1,100
15787,3932,1,200
-6807,13844,1,100
-4340,6375,5,100
-9219,-11274,3,200
-8501,703,1,100
13182,-12896,26,100
13194,-1909,1,100
-13758,9244,2,200
-10754,15545,1,100
9040,12137,1,200
-9481,-1421,1,100
-16260,8213,1,100
-12646,-3122,2,200
-6188,16142,14,100
-15119,-8123,1,100
-10181,-8267,1,100
-11353,3943,1,200
12628,14388,44,100
-9972,9164,4,100
4770,5137,1,100
13407,-1459,1,100
13805,5380,5,100
-11443,4468,1,200
2279,-2554,1,200
14517,1330,1,200
2575,1195,5,100
-8018,-3376,422,100
-4906,-15183,1,0
9675,-9944,1,200
-14080,-3623,1,100
2974,-14059,1,100
-9906,-11275,1,100
4730,-1496,22,200
3418,6467,1,200
-1923,6045,3,200
-3390,11001,3,100
3022,-9843,1,100
14728,12321,1,200
-3548,15973,1,200
-10311,12967,1,200
2440,-1898,2,200
4173,6833,1,100
-14757,-7026,3,200
-7857,-3026,1,200
12954,6888,6,100
7486,12978,2,200
-3487,-3361,1,100
13234,-6271,1,100
-3666,2313,3,200
-4798,7658,2,200
8040,7746,6,100
7846,-11818,2,100
-9824,-7451,1,100
5913,13472,1,200
-4330,579,1,200
-12799,13351,1,100
-9729,589,1,200
5074,-2014,2,200
6149,-13420,11,200
-13776,-13900,4,100
-15472,-4748,4,100
-6316,6465,1,100
-11708,-3445,1,100
-14160,5759,1,100
7371,-9872,1,200
6358,3792,2,100
5076,1442,2,100
-13162,1487,1,100
-14757,15551,1,200
-1178,15400,2,100
7467,1015,1,100
5896,6318,2,100
-4190,-3649,1,100
-14746,10151,1,200
-10827,-14390,1,200
-6207,9322,1,200
-9421,-5835,1,100
-502,-16083,1,100
-1970,258,2,100
3472,8472,8,100
-3241,-4921,7,100
11228,14494,2,200
4041,16295,1,100
-14631,2060,1,100
11913,-3710,1,100
-6343,-7070,1,300
-15508,3689,1,100
-3565,-15773,1,200
-15366,-1451,1,200
11729,14312,1,200
-3214,7448,2,200
3657,10105,1,100
12302,2707,1,200
3114,-13794,6,200
9607,-1238,1,100
2970,2931,3,200
2268,10357,1,0
5661,-5125,1,200
-16048,-7624,8,200
-5191,-8778,1,100
8881,-4202,1,200
12120,-12554,2,200
7392,4225,1,100
12909,-10386,3,100
1166,13173,1,200
9178,15244,2,200
-9916,13158,2,100
9746,14857,1,200
11430,12791,1,200
4218,-10306,2,100
3832,-7700,4,200
-8170,7609,1,100
9441,-10782,9,100
7009,-624,1,100
-13713,10045,7,200
11644,-12299,1,200
-6308,2403,1,100
-885,8587,1,100
-10096,7464,8,200
16221,-15880,1,200
4838,6280,2,200
-10677,-14020,1,200
-7373,5788,1,200
11106,1857,3,200
-4219,9159,1,100
-8764,4530,2,200
-8792,-9679,1,200
15435,-7151,1,200
-15633,8822,1,200
-11408,-14844,4,100
-16080,-4961,1,200
4715,-5136,1,100
-2799,-2735,1,100
-13412,1481,1,200
6530,-5308,2,200
5162,12329,1,100
1163,2295,1,200
-14614,-1121,1,200
-7864,-2398,2,100
11906,-439,1,100
-13518,2157,3,100
6862,9125,73,100
11935,11487,7,100
-6782,11940,2,200
4749,8089,1,200
10769,8704,1,200
12187,13380,1,100
13518,720,18,200
-1960,-12856,8,100
-4783,10586,1,200
-2368,-10818,2,100
-16355,5160,5,200
8964,-14295,3,200
-13440,-3746,2,100
6026,10080,2,100
-11334,-11702,2,100
-14795,-5041,1,100
-15775,15677,1,100
4838,-14625,1,200
13571,4505,1,100
-2237,-15693,1,100
-8434,-3540,2,100
5047,9237,1,200
-15635,10684,1,100
-11847,4400,11,100
1652,15843,1,100
-1198,-9345,1,200
-6530,9246,2,100
-5159,-635,1,200
3540,-13024,4,100
15874,8383,1,100
-11439,-1428,3,100
6935,16343,1,100
9028,4642,2,200
3972,14618,2,100
6166,-6887,1,200
2201,-6868,1,200
1581,6959,1,200
-8308,1530,2,100
-241,14813,1,200
5565,8689,1,200
4043,-1777,1,200
9790,8046,2,200
16021,-9678,1,100
4243,13429,1,100
2992,13710,2,200
182,-347,1,200
-1647,12758,1,100
14431,-10389,1,200
-8127,-9731,1,200
7553,14455,7,100
4099,-15028,1,100
4632,-15252,12,200
1847,1458,1,100
-1758,-14372,2,100
16254,-12197,1,100
3307,-14733,1,200
-10721,5251,1,100
-5490,-6030,90,100
5033,-2931,1,100
-2375,-9121,1,200
5850,-10929,3,200
-80,251,1,100
9920,-2127,1,200
-16235,-5259,1,100
-4066,-12170,2,200
10726,7645,1,100
12817,4697,7,100
4935,475,5,200
7667,7772,1,200
14978,-1119,1,100
-4480,-12707,1,200
13260,10526,2,100
-1481,-12822,1,100
12106,8565,1,100
-15101,-2730,1,300
14291,-14163,1,100
-10981,-9460,1,100
-12552,2986,2,200
-12505,3876,1,200
2625,6236,1,200
7588,13620,4,100
5562,-6602,2,200
10121,-3991,1,100
16302,8930,38,200
-9685,-10794,1,100
-3661,-10445,1,100
2654,-9973,1,200
15078,-10149,3,200
-3875,-6422,1,100
-12424,-9890,2,200
-14868,8886,6,200
8554,12486,2,100
-16325,-1683,1,200
-2412,9881,1,100
-1266,-168,6,100
8172,-8568,36,100
1947,-13344,3,200
13829,12905,1,200
11699,-14429,1,200
-298,4327,1,100
8101,8391,1,100
-8003,13432,1,100
9568,-9842,2,200
1732,-14704,4,100
727,9515,1,100
6690,-15595,5,100
7594,1749,1,100
13573,12306,7,200
9730,-6375,5,100
-3442,-593,1,100
-14660,4980,20,100
-16355,8801,1,200
8395,-9183,1,200
-11312,-14498,2,200
5591,-15312,1,200
-5050,6484,2,100
9770,-2088,2,200
15785,4442,1,200
-6707,-754,1,200
12267,-13785,3,100
-13074,-11690,2,200
-11697,13697,1,100
-6267,-4134,3,200
10284,-14855,1,100
10296,-8519,1,100
13038,-7978,2,100
-7557,-9567,3,200
-8867,11343,1,100
12283,12704,1,200
11298,3581,1,200
-15043,-10697,1,100
-10362,-4721,1,200
-1662,-10319,1,200
12926,4032,2,100
1519,13490,1,200
741,7558,1,200
16362,15379,1,100
12040,11148,4,100
-11577,-4115,1,100
-7065,-10781,1,100
15524,7924,4,100
7098,-15371,1,100
4753,10247,1,200
7731,10426,1,100
-12299,7173,1,200
-4093,4910,1,200
13613,12769,1,200
-15329,8962,1,100
-1675,-16135,5,200
-8892,-2671,1,200
-11252,13731,1,100
56,-8425,1,200
8339,13321,1,100
-9388,-15331,1,100
8886,-8904,6,200
1855,10040,5,100
11535,-5517,3,100
1276,16115,11,100
12103,4813,1,200
-8921,10250,1,100
-4225,-4361,1,100
-15237,2009,1,100
-3346,-12458,2,200
-5736,13075,1,100
-9781,14424,1,100
-12285,11447,1,200
12909,-1783,1,100
-9105,4416,3,200
1969,4065,1,100
-2501,-15843,1,200
11932,-11808,4,100
-7621,-6816,1,100
5953,2014,1,200
15035,3514,1,200
9445,-2532,1,200
10433,7847,1,200
-11934,542,2,100
-15725,-16154,1,100
8137,-5443,1,100
13177,-1236,1,100
8779,-14728,1,100
4292,-15591,1,100
5978,15371,1,200
15,6763,1,100
-7669,10563,1,100
4805,3186,1,200
-7745,11280,5,200
-1308,8132,4,100
-4862,-15908,2,100
-768,4145,1,100
-3149,-3813,1,200
-15478,-6919,1,100
3174,12579,3,100
-2222,14141,1,200
-3834,1086,6,100
-16053,15540,3,100
11967,-2050,1,100
6542,-5473,1,100
3354,-47,1,100
1954,-15105,1,100
-3990,-8747,1,200
14331,11781,51,200
15208,3566,2,100
2752,-13878,2,200
-3046,-6379,1,200
-46,-13760,2,200
12281,-6413,1,100
9225,14185,5,200
2898,-9298,2,100
-7231,1990,1,200
12269,-8189,1,200
-6507,7443,9,200
12013,-8811,1,100
-10134,-1743,3,100
12791,2436,1,100
-15440,16228,4,0
-14442,3906,6,200
-7964,-10818,2,200
-12578,-8798,2,200
-167,15067,1,200
-14768,-13774,142,100
-5319,-7217,1,100
510,-309,3,100
-2874,13917,3,100
